,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Kevin Huerter,SAC,74,3.2,23.8,1.14,3.7,1.3,2.8,46.6,62.0,4.6,8.4,3.8,0.4,43.7,81.8
1,Jalen Green,HOU,75,2.3,10.0,1.09,2.5,0.9,2.0,47.3,57.0,6.9,9.2,6.9,2.3,45.4,74.1
2,Jordan Poole,GSW,81,2.2,10.4,1.06,2.3,0.8,1.7,44.6,55.0,10.8,11.9,8.5,1.7,44.3,69.3
3,Jamal Murray,DEN,64,2.5,12.6,1.11,2.7,1.0,2.2,46.4,55.7,8.2,5.1,4.4,1.9,47.5,78.5
4,Stephen Curry,GSW,55,2.6,10.2,1.2,3.1,1.0,2.2,45.8,61.7,9.1,10.5,8.4,3.5,44.1,88.0
5,Tyler Herro,MIA,66,2.6,12.7,0.99,2.5,1.0,2.2,44.8,53.1,6.5,11.2,5.9,2.4,42.0,57.7
6,CJ McCollum,NOP,74,2.1,9.5,1.02,2.1,0.7,1.6,45.8,54.2,10.5,14.5,9.2,3.9,42.8,63.5
7,Keegan Murray,SAC,79,1.6,15.0,1.11,1.8,0.7,1.5,44.8,60.8,2.3,9.2,2.3,0.8,41.5,79.2
8,Keldon Johnson,SAS,63,2.3,10.6,0.96,2.2,0.7,1.8,40.4,45.6,16.4,8.9,16.4,3.4,44.5,55.1
9,Damian Lillard,POR,58,2.1,7.4,1.15,2.4,0.7,1.6,41.8,53.8,15.7,9.9,11.6,0.8,46.3,82.8
10,Desmond Bane,MEM,58,2.3,11.6,1.04,2.4,0.9,1.9,47.3,54.5,8.3,10.6,7.6,2.3,45.5,65.3
11,De'Aaron Fox,SAC,72,1.6,6.9,1.09,1.8,0.7,1.4,48.5,55.3,6.9,4.3,6.0,0.0,50.0,75.5
12,Klay Thompson,GSW,68,2.1,10.0,0.86,1.8,0.7,1.9,37.0,46.9,2.1,9.2,2.1,1.4,34.0,39.1
13,Buddy Hield,IND,79,1.4,9.4,1.04,1.5,0.6,1.2,46.8,58.0,4.4,14.0,4.4,0.9,42.1,66.8
14,Donovan Mitchell,CLE,68,1.7,6.6,1.03,1.7,0.6,1.4,41.2,50.0,8.8,7.0,7.0,1.8,42.1,65.0
15,Bradley Beal,WAS,50,2.0,8.8,1.15,2.3,0.9,1.6,58.0,62.3,11.2,7.1,12.2,2.0,55.1,83.6
16,Franz Wagner,ORL,79,1.6,9.2,0.85,1.4,0.5,1.4,34.9,39.0,10.8,7.7,9.2,2.3,37.7,34.6
17,RJ Barrett,NYK,72,1.4,6.9,1.06,1.5,0.5,1.1,48.8,53.8,15.5,9.7,14.6,2.9,50.5,68.2
18,Malik Monk,SAC,76,1.6,11.6,0.92,1.4,0.6,1.3,44.8,52.1,5.1,15.3,5.1,1.7,39.8,48.2
19,Terry Rozier,CHA,64,1.5,6.6,1.15,1.7,0.6,1.2,54.7,64.7,5.4,14.0,3.2,0.0,49.5,83.2
20,Anfernee Simons,POR,62,1.2,6.1,1.34,1.6,0.6,1.1,53.7,68.7,5.3,6.6,3.9,0.0,52.6,96.4
21,Harrison Barnes,SAC,81,1.1,8.8,1.09,1.2,0.4,0.9,43.7,52.1,18.3,7.5,18.3,3.2,47.3,73.7
22,Immanuel Quickley,NYK,80,1.1,8.1,1.09,1.2,0.4,0.9,44.0,58.7,5.6,10.1,5.6,0.0,42.7,75.2
23,Darius Garland,CLE,69,1.3,6.0,1.07,1.4,0.5,1.0,47.1,54.3,11.4,11.4,10.2,2.3,46.6,70.8
24,Gary Trent Jr.,TOR,65,1.1,6.9,1.23,1.4,0.5,0.9,55.7,62.3,12.3,2.7,12.3,0.0,58.9,89.8
25,Kelly Oubre Jr.,CHA,48,1.6,8.0,1.13,1.8,0.6,1.3,49.2,57.4,15.6,9.1,13.0,3.9,49.4,80.7
26,Jalen Brunson,NYK,68,1.2,5.6,1.02,1.3,0.5,1.1,45.8,49.3,11.9,7.1,10.7,4.8,46.4,64.2
27,Dillon Brooks,MEM,73,1.4,8.8,0.84,1.2,0.5,1.3,36.2,41.5,5.9,4.0,5.9,3.0,36.6,33.6
28,Max Strus,MIA,79,1.4,12.7,0.73,1.1,0.3,1.3,27.3,35.9,4.4,8.0,4.4,0.0,28.3,17.9
29,Lauri Markkanen,UTA,66,1.0,4.7,1.22,1.2,0.4,0.8,52.9,61.8,17.9,11.9,17.9,6.0,52.2,89.1
30,Jordan Clarkson,UTA,61,1.4,6.7,0.93,1.3,0.4,1.2,37.5,44.4,9.1,10.2,9.1,1.1,38.6,49.6
31,Luka Doncic,DAL,66,1.3,4.5,0.92,1.2,0.5,0.9,53.4,59.5,13.5,24.7,12.4,3.4,43.8,47.4
32,Doug McDermott,SAS,64,1.5,15.7,0.85,1.3,0.5,1.3,34.9,45.8,2.1,10.5,2.1,0.0,32.6,36.9
33,Jaylen Brown,BOS,67,1.3,5.1,0.91,1.2,0.4,1.0,38.5,43.8,15.9,13.6,14.8,3.4,40.9,46.0
