,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Nikola Jokic,DEN,67,5.3,25.2,1.23,6.5,2.4,3.7,65.5,65.5,21.8,15.0,19.2,7.1,60.5,93.5
1,Joel Embiid,PHI,61,4.7,16.1,1.14,5.3,1.6,3.0,54.1,54.1,28.2,12.3,23.9,5.3,57.0,84.4
2,Nikola Vucevic,CHI,75,3.5,21.1,1.04,3.6,1.6,2.9,54.4,54.4,9.9,9.5,6.8,1.9,52.1,66.9
3,Jonas Valanciunas,NOP,72,3.7,27.1,0.99,3.7,1.4,2.5,55.0,55.0,18.4,19.5,16.5,5.2,50.2,57.1
4,Luka Doncic,DAL,61,3.7,12.3,1.12,4.2,1.5,2.7,54.5,54.5,25.9,6.1,25.4,5.3,59.2,81.8
5,Kristaps Porzingis,WAS,64,3.3,16.2,1.18,3.9,1.4,2.4,58.2,58.2,23.7,10.0,21.3,6.2,59.7,88.3
6,Deandre Ayton,PHX,62,3.9,23.3,0.96,3.7,1.7,3.2,51.2,51.2,6.7,10.0,5.8,0.4,49.2,51.9
7,Alperen Sengun,HOU,69,2.9,19.9,0.98,2.9,1.2,2.1,55.9,55.9,14.9,15.4,11.4,2.5,51.2,56.5
8,Anthony Davis,LAL,49,3.8,16.8,1.04,4.0,1.4,2.9,48.6,48.6,20.7,6.9,18.6,4.8,52.7,66.2
9,Giannis Antetokounmpo,MIL,59,3.3,11.3,0.94,3.1,1.2,2.2,53.8,53.8,18.3,17.3,15.2,3.0,49.2,47.4
10,Domantas Sabonis,SAC,73,2.6,14.8,0.98,2.5,1.0,1.9,55.1,55.1,11.8,16.0,9.6,1.6,50.8,55.2
11,DeMar DeRozan,CHI,68,2.0,8.6,1.31,2.6,0.9,1.5,60.0,60.0,27.8,5.3,27.8,12.0,63.2,96.1
12,Jusuf Nurkic,POR,52,3.8,27.9,0.89,3.3,1.3,2.7,48.9,48.9,16.4,15.9,16.4,4.6,46.7,34.4
13,Bobby Portis,MIL,64,2.5,19.1,1.0,2.5,1.1,2.2,52.1,52.1,7.4,8.0,5.6,1.9,50.6,61.5
14,Bam Adebayo,MIA,70,2.4,11.6,0.97,2.3,1.0,1.8,53.6,53.6,9.7,15.2,9.7,0.6,49.7,53.2
15,Pascal Siakam,TOR,65,2.5,10.3,0.98,2.4,0.9,1.9,48.8,48.8,18.0,8.7,16.8,1.9,51.6,55.8
16,Zach Collins,SAS,60,2.5,21.3,1.06,2.6,0.9,1.8,51.9,51.9,19.7,10.9,15.6,4.1,53.7,71.4
17,Jaren Jackson Jr.,MEM,57,2.6,15.9,1.04,2.7,1.1,2.0,57.1,57.1,12.1,14.8,12.1,2.0,53.0,67.5
18,Myles Turner,IND,62,2.2,14.1,1.11,2.4,0.9,1.6,55.9,55.9,19.3,9.6,16.3,4.4,57.0,81.2
19,Julius Randle,NYK,76,2.2,8.9,0.9,1.9,0.7,1.4,48.1,48.1,20.1,18.3,17.1,4.3,47.0,39.6
20,Brook Lopez,MIL,73,1.8,13.2,1.06,1.9,0.8,1.4,55.4,55.4,15.8,12.8,14.3,5.3,52.6,70.8
21,Aaron Gordon,DEN,63,2.0,14.2,1.07,2.2,0.8,1.4,55.6,55.6,27.1,10.1,23.3,7.0,55.8,74.0
22,John Collins,ATL,65,2.1,17.7,0.99,2.1,0.9,1.8,52.2,52.2,9.4,10.1,9.4,2.2,49.6,58.4
23,Jayson Tatum,BOS,69,1.5,5.3,1.21,1.8,0.6,1.0,54.9,54.9,28.4,5.9,28.4,4.9,60.8,91.6
24,Ivica Zubac,LAC,70,1.6,16.3,1.1,1.7,0.7,1.1,59.5,59.5,17.3,12.7,14.5,1.8,57.3,78.4
25,Scottie Barnes,TOR,70,1.9,11.5,0.9,1.7,0.7,1.5,43.5,43.5,14.8,6.7,12.6,1.5,47.4,35.1
26,Jimmy Butler,MIA,60,2.1,10.8,0.95,2.0,0.8,1.6,46.9,46.9,19.2,11.2,18.4,7.2,48.0,50.0
27,LeBron James,LAL,48,2.6,9.4,0.94,2.5,1.0,2.1,50.5,50.5,13.5,14.3,13.5,6.3,46.0,48.7
28,Christian Wood,DAL,63,1.8,11.6,1.04,1.8,0.7,1.2,60.0,60.0,17.1,17.1,14.4,1.8,55.9,68.2
29,Tobias Harris,PHI,70,1.5,11.1,1.08,1.6,0.7,1.3,54.8,54.8,9.4,6.6,7.5,3.8,53.8,76.0
30,Zion Williamson,NOP,29,3.8,16.4,0.99,3.8,1.4,2.6,53.3,53.3,23.4,16.2,19.8,7.2,51.4,57.8
31,Paolo Banchero,ORL,68,1.6,7.4,0.97,1.6,0.6,1.2,51.3,51.3,15.6,12.8,14.7,1.8,50.5,54.5
